DIFF_ND,DIFF_NF,DIFF_EN,SIZE_LA,SIZE_LD,PURP_FIX,PURP_MR,SKIP_DOC,SKIP_MET,SKIP_COM,SKIP_FRM,SKIP_BLD,LABEL,CM_filter,CM_iso639,CM_maven,CM_plugin,CM_pom,CM_prepare,CM_release,CM_script,CM_solr,CM_version
0,1,0.0,1,1,0,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.5674957908720732,0.0,0.31949292261656853,0.5483878376607491,0.0,0.5245413036607998
0,1,0.0,1,1,0,0,1,0,0,0,0,1,0.0,0.0,0.5271843060574489,0.5287910982572975,0.0,0.5287910982572975,0.4035302420567858,0.0,0.0,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,1,0.4149839392381203,0.41857481823480647,0.31056321471084314,0.31150977276506364,0.0,0.31150977276506364,0.47543770846829186,0.0,0.36880380921665384,0.0
0,1,0.0,1,1,0,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.5674957908720732,0.0,0.31949292261656853,0.5483878376607491,0.0,0.5245413036607998
0,1,0.0,1,1,0,0,1,0,0,0,0,1,0.0,0.0,0.5271843060574489,0.5287910982572975,0.0,0.5287910982572975,0.4035302420567858,0.0,0.0,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,1,0.4149839392381203,0.41857481823480647,0.31056321471084314,0.31150977276506364,0.0,0.31150977276506364,0.47543770846829186,0.0,0.36880380921665384,0.0
0,1,0.0,1,1,0,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.5674957908720732,0.0,0.31949292261656853,0.5483878376607491,0.0,0.5245413036607998
0,1,0.0,1,1,0,0,1,0,0,0,0,1,0.0,0.0,0.5271843060574489,0.5287910982572975,0.0,0.5287910982572975,0.4035302420567858,0.0,0.0,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,1,0.4149839392381203,0.41857481823480647,0.31056321471084314,0.31150977276506364,0.0,0.31150977276506364,0.47543770846829186,0.0,0.36880380921665384,0.0
0,1,0.0,1,1,0,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.5674957908720732,0.0,0.31949292261656853,0.5483878376607491,0.0,0.5245413036607998
0,1,0.0,1,1,0,0,1,0,0,0,0,1,0.0,0.0,0.5271843060574489,0.5287910982572975,0.0,0.5287910982572975,0.4035302420567858,0.0,0.0,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,1,0.4149839392381203,0.41857481823480647,0.31056321471084314,0.31150977276506364,0.0,0.31150977276506364,0.47543770846829186,0.0,0.36880380921665384,0.0
0,1,0.0,1,1,0,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.5674957908720732,0.0,0.31949292261656853,0.5483878376607491,0.0,0.5245413036607998
0,1,0.0,1,1,0,0,1,0,0,0,0,1,0.0,0.0,0.5271843060574489,0.5287910982572975,0.0,0.5287910982572975,0.4035302420567858,0.0,0.0,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,1,0.4149839392381203,0.41857481823480647,0.31056321471084314,0.31150977276506364,0.0,0.31150977276506364,0.47543770846829186,0.0,0.36880380921665384,0.0
0,1,0.0,1,1,0,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.5674957908720732,0.0,0.31949292261656853,0.5483878376607491,0.0,0.5245413036607998
